harari_latin,english,category,notes
abba misti,sister-in-law,noun,lit. the wife of the elder brother
abbay,elder sister; mother,noun,form of address
abbayoye,my wife,noun phrase,
abbayyo,lady,noun,used if one does not know her name
abd,exclamation of embarrassment or boredom,interjection,
abde,male; husband; courageous; brave; hero; bold,noun/adjective,related to Semitic root for father
abegala,make grow; plant,verb,causative
abeldla,spoil; waste,verb,causative
abenena,sprinkle with salt; pepper; etc.,verb,causative
aberena,illuminate,verb,causative
abesa,prefer,verb,
abeSana,dilute,verb,causative
abid,worshipper,noun,from Arabic
abiira sa,investigate; determine,verb phrase,from Arabic abbara interpret
abiisa,trouble; misfortune,noun,meaning derived from Geez sin
abila'a,feed,verb,causative
abilla,refuse,verb,from Sidamo
abisala,cook; bother,verb,causative
abo,small spear,noun,from Cushitic
aboya,afterbirth,noun,probably from Galla
absa,whey,noun,dairy product
absum,circumcision,noun,from Galla
absum adelaso,uncircumcised,adjective,lit. he whom one did not circumcise
absum asa,circumcise,verb phrase,
absuma,grandchild (male),noun,from Cushitic
absumit,grandchild (female),noun,from Cushitic
abuga,terminate; stop doing something,verb,lit. consider as sufficient
abugadid,kind of cloth,noun,from South Arabian
abultayni,fourth period of the beyza season,noun,from Arabic al-butayn
abuzaha,augment; overdo,verb,causative
abzah,most; majority; mostly; the greatest part,adverb/noun,elative form of root for be abundant
abzah gir(um),most often,adverb phrase,
abzah girum,most often,adverb,
abzah usu,most people,noun phrase,
abzahem,most,adverb,
ad,threshing field; heap of corn,noun,
ad aga,winnow,verb phrase,
ad areda,heap up the stalks on the threshing field,verb phrase,
ad barti,flail,noun,lit. the stick of the threshing field
ad marbarab,light rain during rainy season,noun phrase,lit. that which waters the threshing field
ada,unknown noun example,noun,stress example
adab,unknown noun example,noun,stress example
adab qalil,ill-mannered,adjective phrase,
adab zala,polite; well-mannered,adjective phrase,lit. who has good manners
adagaisa,make the ink concentrated by adding myrrh,verb,
adare,city of Harar; language of Harar,proper noun,name used by Galla and Somali
adari,pigeon,noun,bird
adawa,enemy in war,noun,from Arabic
adawi,enemy in war,noun,variant
adawinat,animosity,noun,
addaga,have the time for doing something or be in a position to do something,verb,
addalaha,attack repeatedly,verb,
addaldga,make work,verb,causative
addamaga,make lively,verb,causative
addanan-ti,carry something on the head without supporting it with the hand,verb,feminine
addaraqa,force,verb,
addinya,world,noun,from Arabic
aden,cat,noun,probably from Cushitic
adet,woman,noun,probably from Cushitic
adgana,reach someone or something,verb,
adib,good manners,noun,from Arabic
adib asa,behave well,verb phrase,
adib-be,modestly,adverb,
adiga,throw someone to the ground; cause to fall,verb,causative of wadaga fall
adihabi,idle,adjective,
adil,just,adjective,from Arabic
adim,tanned hide (mostly red),noun,from Arabic
adiyay,swing,noun,
admasa,demolish or destroy or annul or violate,verb,
adogeina,bend,verb,causative
adtara-l-,"defend someone, protect",verb,
adu,manure,noun,cf. G. addawa 'sweep'
adurru,cat,noun,from Cushitic
adynifa,useless,adjective,lit. that does not serve
af,mouth; entrance,noun,Semitic root
af faleera,eat,verb phrase,lit. the mouth has broken the fast
af fatira,eat,verb phrase,lit. 'the mouth has broken the fast'
af gay,nest,noun phrase,lit. house of bird
af tallaqa yis,let him make a fool of himself,phrase,lit. let him plunge with his nose
af wafew,promise,verb phrase,lit. the mouth (or word) went out of him
af zala,talkative,adjective phrase,lit. who has a mouth
af zelela,mute,adjective phrase,lit. who has no mouth
af-be zeyitgo,insult,noun phrase,lit. a thing that one does not bring out from the mouth
afa igi,food,noun phrase,lit. mouth and hand
afaca,whistle,verb,
afaceha,spread everywhere,verb,
afagara,stay awake until the sun breaks through,verb,
afaqa,broken gourd; small gourd,noun,from Cushitic
afar,clay; soil; earth,noun,Semitic root
afara,invite or invite the members of the afota to attend the funeral,verb,from Somali
afaraha,satisfy; cause to be happy,verb,probably from Arabic 'afraha 'make happy'
afata,unknown noun example,noun,stress example
afata lata,join the neighbors' association,verb,
afatala,spin,verb,Semitic Arabic fatala 'spin'
afatara,feed; give to eat,verb,
afaya,be satisfied,verb,
afdiga,fireplace; kitchen,noun,from Ethiopic root for burn
afdiga din,fireplace stone,noun,
afdiga iin,fireplace stones,noun phrase,
afdiga waldi,boy who stays in the kitchen,noun phrase,lit. the boy of the fireplace
afet,health; payment as salary; wages,noun,from Arabic
afet-zo girgara asa,help by contributing one's services,verb phrase,lit. help with one's health
afgon,worn out (cloth),adjective,
afgu-(be),early; soon,adverb,
afi qabgib asa,be very angry,verb phrase,lit. pour or shake the earth
afiinaé,we,pronoun,plural morpheme
afitftu,plaited basket to winnow grain,noun,from Cushitic
afiy ajar,game consisting of throwing earth at one another,noun phrase,
afiy wanag,strong but lazy,adjective phrase,lit. a lion made of earth
afiy+noun,useless,adjective,
afiya,health,noun,from Arabic
aflala,black jar serving to store small objects of women,noun,from Galla
aflala uffa,special cover made of basket work for the aflala,noun phrase,
afoca,neighbor; neighborhood; section of locality; association of neighbors,noun,from Cushitic
aforara,throw something when effort is implied and usually for a long distance,verb,
afoya,be settled down,verb,
afrava,threaten or scare or terrify or frighten,verb,
afta leta,join the afoca,verb phrase,
afta tedebala,join the afoca,verb phrase,
aftir,first meal taken at sunset in Ramadan period,noun,from Arabic
afulaha,boil,verb,transitive
afwi,forgiveness,noun,loanword; variant: awfi
afwi asa,forgive; pardon,verb phrase,
ag,tusk,noun,from Arabic 'ag (ivory)
aga,take off; take out; make go out; bring out; reveal; vomit,verb,euphemism for vomit
Aga,know,verb,
agaba,bring home,verb,
agabara,tame,verb,
agabari,herd; domestic animals; cattle,noun,from Cushitic
agabari gehri,shepherd,noun,variant: agabari gerhi
agabari gerhi,shepherd,noun,variant: agabari gehri
agabari qehri,shepherd,noun phrase,lit. who tends the herd
agabira,appear in a majestic way (f. in. a person dressed in his best cloth),verb,
agada,bind,verb,
agaddra,honor; celebrate; respect; value,verb,
agadu,cattle pen,noun,structure
agaga,hatch; produce many children (man or cattle),verb,from aga with repeated last consonant
agagul afina,not be done properly; not be done on time,verb phrase,probably from Galla
agaim,kind of berry,noun,also in Cushitic
agal,fate,noun,from Arabic
agala,begin; start (transitive),verb,from Cushitic
agalaba,roast slightly coffee beans or coffee leaves,verb,
agana,find; get; obtain; gain; meet; earn,verb,
agar gazi,governor of a province,noun phrase,from Amharic
agara,bundle of gat trimmed and packed in a green leaf,noun,
agarada,observe; see well,verb,denominative
agargiira,kind of grass serving to make baskets,noun,
agastisa,cause to dislike,verb,
agaza,displace things from one place to another,verb,
agbari ageca,drive the cattle to the field,verb phrase,
ageadu,cattle pen,noun,
agi,wise; mature,adjective,
agid-be,in front of,preposition,
agida,unknown verb example,verb,stress example
agnabi,foreigner,noun,from Arabic
agobar,tent,noun,also in Cushitic
agraiinnya,pedestrian,noun,variant
agrannya,pedestrian,noun,
agrawaaram,arms,noun,lit. shield and spear
agri,shield,noun,from Cushitic
agri-be xatira,ward off with a shield,verb phrase,
aguda,bind; tie,verb,Semitic root
aguga,fog,noun,from Cushitic
ah,exclamation of pain,interjection,
aha88i'i,something; anything; nothing (with negative verb),pronoun,
ahad,one; same,number,
ahad abba,a certain man,phrase,
ahad ahad,several; some,adjective,
ahad ahad-le,one by one,adverb,
ahad attay-be,somewhere; together,adverb,
ahad ayna,same,adjective,
ahad gir-um,never,adverb,
ahad girum,never,adverb,
ahad kut-be,perhaps; if it happens,adverb,
ahad meg,a certain man,noun,
ahad qéssi,about,preposition,
ahad Si(m),something; anything; nothing (with negative verb),pronoun,
ahad swum,whoever,pronoun,
ahad usu'um,none (with negative verb),pronoun,
ahad uswwn,none (with negative verb),pronoun,
ahad-hit fod arada,put aside,verb,
ahad-hu fon arada,put aside,verb,lit. place toward one side
ahad-ku-fo% ariéda,put aside,verb,lit. place toward one side
ahad-ziyu akad-ziyu,one another's,pronoun,
ahadde,together,adverb,
ahaddé,together,adverb,
ahadde-be,together,adverb,
ahaddé-be,together,adverb,
ahade ko'ot,argument back and forth,noun phrase,literally 'one and two'
ahadndt-be,together,adverb,
ahadnit-be,together,adverb,lit. with oneness
ahadsii,something; anything; nothing (with negative verb),pronoun,
ahadu-m,anything; nothing (with negative verb),pronoun,
ahar-be,behind; in the back,preposition,
ahar-le,behind,preposition,
ahaSsri,something; anything; nothing (with negative verb),pronoun,
ahasswum,none (with negative verb),pronoun,
ahatiai,first,adjective,ordinal
ahatim,bride up to the end of the first year; newly married until she gives birth to her first child,noun,marriage status
ahatta mawlid,name of month,noun,lit. first mawlid
ahattai,unknown noun example,noun,stress example
ahattaii,first,adjective,ordinal
ahattainiat,first place,noun,
ahatti abba,only one fellow,noun,
ahiad ko?ot,argument back and forth,noun,lit. one and two
ahir baya,delay,verb,
ahit,younger sister,noun,family relationship
ahiy amdt,next year,phrase,
ahiy amit,next year,noun,time expression
ahli,relatives,noun,family; from Arabic ahl (family)
ahlinét,relationship,noun,
ahmalala,be ugly,verb,appearance
ahmara kitab,butterfly,noun,animal; lit. book of the Amhara
ahmira,non-Moslem,noun,metathesis of Amhara
ahmira kitab,butterfly,noun,lit. the book of the Amhara
ahrézo%,so then,adverb,
ahwe,exclamation of pain,interjection,
aigafara,make the horse gallop,verb,
ain-be addalaha,throw stones repeatedly at someone,verb,
aiqara,keep back; leave behind,verb,causative
aissu,pepper prepared with other spices,noun,food/spice
ak'a,spill; leak through,verb,
akafala,take responsibility for making necessary preparations of food for a festivity,verb,from Arabic kafala 'be responsible'
akahala,put on antimony,verb,
akidday,classmate,noun,
al-,prefixed morpheme of negation,prefix,grammar
al-dallagi,idle,adjective,lit. non-worker
al-furatam,ill-mannered,adjective,lit. who is not fearful
ala,cane (of durra/sorghum) when still fresh; stem of sorghum with sweet taste,noun,plant
alad,unknown noun example,noun,stress example
alafa?a,"soften hide, knead",verb,
alagaha,lend,verb,variant: alehaga
alagi,who does not know; ignorant,adjective,
alaginiit,ignorance,noun,
alahaqa,lend,verb,
alamara,extinguish,verb,
alaqa,bring up,verb,
alaqaha,lend,verb,
alata,push forward,verb,
alawada,kitchen,noun,room; from Cushitic
alay,other; another,adjective,
alay altd-wa hisabwm,not only the others but even,phrase,
alay inta,except this,phrase,
alay uswum,anyone else,pronoun,
alay-zo,the other one,pronoun,
albata,confuse; cause to make a mistake,verb,
albergo,inn,noun,from Italian
albo,anklet,noun,jewelry/accessory
aldabra,the sixth period of the bayag-season,noun,time/season
aldga,stranger; who does not belong to the family or tribe,noun,
aléf,lower in scholastic degree in relation to lagi,noun,education
alehaga,lend,verb,variant: alagaha
alell baya,utter the olsll-shout of joy,verb,
alfi,thousand,number,
alfurdtam,ill-mannered,adjective,lit. who is without fear
alge,kind of cactus,noun,plant; from Galla
algifra,the third period of the zirat-season,noun,time/season
algragaba,make return; repeat,verb,
alhad,Sunday,noun,day of week; from Arabic
alhad moy,Sunday,noun,day of week
alhad yam,Sunday,noun,day of week
Alia,make,verb,
alim,learned; erudite,adjective,from Arabic
aliqot,inexperience,noun,from negative al-
alla,God,noun,religious; from Arabic Allah
alla alla,exclamation of surprise or astonishment,interjection,
alla baya gir,if God will,phrase,lit. if God says
alla fari,Godfearing,adjective,
alla févi,Godfearing,adjective,religious
alla magdn baya,thank,verb,
alla magén,thank you!,interjection,
alla megan,thank you!,expression,
alla megan baya,to thank,verb phrase,
alla usu?,pious man,noun,lit. a man of God
alla usu',pious man (lit. man of Allah),noun,religion
alla yiral,God is my witness,phrase,lit. God sees
alla yival,God is my witness,phrase,lit. God sees
alla-be médgén baya,take refuge in God,verb,religious expression
alla-fit-le yil,he does it for the sake of Allah,phrase,
almira,disobey,verb,lit. he did not obey
alqatara,attach,verb,
alqi,who does not know,adjective,
alqlaqa,"rinse, gargle, whitewash",verb,
alta,he is not,verb,copula negative
alta gir(um),or else; if it is not,conjunction,
alta girum,or else; if it is not,conjunction,
alta-num,or,conjunction,
altamasa,snatch away,verb,
alté?émiiva,disobey,verb,from negative al- and téméra
altifairakkam,be impossible,verb,
altikihala-,be dissatisfied,verb,
alum,there is not,verb,negative existence
alxasa,be necessary,verb,
alxasa-,need; be necessary to,verb,
amaga,vanquish / win / defeat / succeed,verb,
amaga b-,surpass,verb,
amalata,escape,verb,
amam-be,well; correctly; in peace; safely,adverb,
aman aman,important,adjective,
aman baya,take leave,verb,
aman hadérzu,good morning!,interjection,lit. did you spend the night well?
aman-be,well; correctly; in peace; safely,adverb,
aman-be hidér,good night!,interjection,lit. spend the night well
amaqaha-,feel stimulated after having taken cat,verb,
amasa,be late in the evening / spend the evening,verb,
amasara,pour liquid dough on the baking pan / bake bread / spread ink on paper or on a blotter,verb,
amasata,cause to dislike / make something detestable,verb,
amba,person for whom one cares,noun,from Galla ambo (ally)
ambabara,heap up,verb,
ambalasa,have a delicate and smooth appearance (person) / be smooth (skin) because of care given to it,verb,
ambasa-,be sick / be unable / miss / fail to find / fail to do something,verb,from Cushitic
amdi,intention,noun,from Arabic
amdi-be,intentionally,adverb,
amdra,bird of prey,noun,animal
amehasa b-,become worse (in disease),verb,
ameqa,heat,verb,
amiina,believe,verb,Semitic root *mn
amiita aa,mourn; lament,verb,
amiita zalba,mourner,noun,lit. who has the mourning
amil,character; habit,noun,
amile,bar of salt,noun,trade item
amin,peace; well-being; well; good; in good health; goodbye!,noun/interjection,from Arabic aman
Amin,honest,adjective,from Arabic
amina arida,put in custody,verb,
amir,sovereign; king,noun,from Arabic (prince)
amir gar,palace; royal family,noun,
amir naddiba taqat,niche above the amir naddiba,noun phrase,
amir nédiba,the seat to the right of the entrance,noun,
amir niédéba fagét,the niche above the amir niddba,noun,
amir sikha,Harari money,noun,lit. money of the sovereign
amis aa,reap,verb,
amit,year,noun,time
amit amiit-be,every year,adverb,
amita,mourning; lamentation,noun,
Ammin,Amen!,interjection,religious
amna,last year,noun/adverb,time expression
amratasa,tear off with force,verb,
amri,matter; thing; order,noun,from Arabic
amri agantina,obey orders,verb,
amri aqanana,obey orders,verb,
amsil,like,preposition,
amta girux,or else,conjunction,
an,I,pronoun,
anabera,keep,verb,causative form
anadada,keep up the fire; burn (transitive); irritate,verb,causative
anagaha,wake up (transitive); rouse from sleep,verb,causative
anagasa,profane; desecrate,verb,causative
anajaha,make white; clear a forest,verb,causative
anara,beautify the house; take good care of a farm and develop it,verb,perhaps from Ar. anara
anasti,female,noun/adjective,cf. C. arast
anasti atawaq,hen,noun,animal
anasti daw,she-goat,noun,animal
anasti faraz,mare,noun,lit. 'female horse'
anasti fardz,mare,noun,animal
anasti gamala,she-camel,noun,
anasti gamdla,she-camel,noun,animal
anasti tay,she-sheep,noun phrase,
anatafa,spread out carpet or grass to cover the ground on which one sits or sleeps,verb,
anawata,exchange; change (transitive),verb,
anazafa,clean (verb),verb,causative
anbabera,put one on top of another,verb,
andaiind méngad,main street of Harar,noun,place
anddlala,make round,verb,
andsa,be little; be less; decrease,verb,
andsa gir,at least,adverb,
andsa giy,at least,adverb,
anfit aSa,blow the nose,verb,lit. take out the nasal mucus
angagaha,arouse; stimulate,verb,
angar,stomach,noun,body part
angasa,make reign; inaugurate,verb,causative
angat,neck,noun,body part
angat aqanana,be proud,verb,lit. erect the neck
angat mahawa,necklace,noun,lit. object of the neck
angat-be laay hasawa,insincere and superficial conversation,noun phrase,literally 'conversation above the neck'
angdlila,separate the finely ground grain from the coarsely ground grain with a circular movement of the basket,verb,food preparation
angét mihawa,necklace,noun,jewelry; lit. objects of the neck
angiifa,first-born child,noun,family; from Galla
angit aqanéna,be proud,verb,lit. erect the neck
angit-be laay hasiwa,insincere and superficial conversation,noun,lit. conversation above the neck
angorara,wait,verb,
ankdbal,cover of the griddle,noun,kitchen utensil; from Galla
anko,monkey,noun,animal; from Galla
anna,paternal aunt,noun,family relationship
anné,no! (refusal),interjection,
anne baya,refuse,verb,
anqir,stomach,noun,body part
anqurarahti,frog,noun,animal
anta-,be sick,verb,
antéta,cause pain,verb,
Anuziriti,game of hide and seek played by boys and girls,noun,game
anzAxo,obstinate,adjective,lit. I who said it
aqa-b-,be skillful in something,verb,
aqabada,hand over,verb,from Ar. qabada
aqabala,hand over,verb,
aqabari qarhi,shepherd,noun,lit. guardian of the herd
aqahara,lock the door with the maqarahti-locker,verb,
aqaldla,make thin,verb,causative
aqameta,rest on a base,verb,
aqana-,be ashamed; be bashful; be shy,verb,from Galla qanawa
aqana'a,guide; lead,verb,
aqanana,make stand; erect,verb,causative
aqaraba,present,verb,causative
aqasa,lead to the field,verb,causative
aqatara,line up in a circle,verb,from Arabic qattara
Aqiba,result,noun,from Arabic
aqid,front; forward; chief; head,noun,
aqid dagét,niche opposite the door,noun,architecture
aqid sin,front tooth,noun,body part
aqiiba,wait; expect,verb,
aqil,wise; intelligent,adjective,from Arabic
aqira,wrap up; make a bundle (of gat),verb,
aqirata,be short of; lack,verb,from Ethiopic qrt meaning cut or decide
aqlaqala,purge,verb,probably metathesis of root qlq
aqlél,well prepared sauce,noun,food
aqli,intelligence,noun,from Arabic
aqofala,lock; close; shut,verb,
aqosa,mix the dough with water,verb,
aqssa,despise; belittle; have contempt,verb,from Galla qisu
aqti,leech,noun,animal; cf. G. alqt
aquh,egg,noun,food
aqumamisa,beautify oneself by various decorative objects,verb,
aquyya,kind of plant the seed of which yields oil for purgative,noun,plant; medicine
ar,shame,noun,from Arabic
ara,prepare the fresh gourd for use by rinsing it with water or pebbles,verb,
arab,Arab; foreign; imported; special; strange,adjective/noun,
arab birbiri,kind of small pepper,noun,food/spice
arab isat,strong fire,noun,
arab sama,imported candle,noun phrase,
arab Sama,imported candle,noun,
arab uxat,kind of fine pancake,noun,food
Arada,deposit (v.); place; put down; lower; purge,verb,
araé,anger,noun,emotion
arafa mattaga,contribution in money by the boys and girls,noun,festival
arafa wahri,name of month,noun,calendar
arafada,it is late in the morning,verb,Ethiopic root
aragafa,make fall down (fruit or leaves); remove,verb,causative
aragaha,outweigh,verb,variant of ragaha
aragaza,settle (lees); settle down; be settled down,verb,
aray,kind of blue bird,noun,animal
araz mahata,weave,verb phrase,see araz
arba'a,Wednesday,noun,day of week; from Arabic
arba'in,forty,number,from Arabic
arbaiiaat,patriotism,noun,from Amharic
arbaraba,to water; sprinkle,verb,Semitic root
arbiin,deposit of money,noun,from Arabic
arbin,forty,number,from Arabic
ardaa,announce the death; convey the news of the death of someone,verb,
ardawig,disciple,noun,from arda (school) and wig (child)
ardb axi,maize,noun,food
ardb isat,strong fire,noun,
ardb mitz,papaya,noun,fruit
ardbi,Arabic,adjective,language
ardbit,beautiful young girl,noun,feminine of arab
ardge,liquor,noun,drink; from Arabic
ardge dukkan,liquor house,noun,place
ardge gar,liquor house,noun,place
areqa,allure; attract,verb,
argagaba,return,verb,variant: giragaba
argatta,Galla of Harar; uncivilized,noun,ethnic term
argiini,kind of crocodile,noun,animal
ari,the reverse side; opposite; bad things,noun,
arifa aa,celebrate the arifa,verb,religious
ariib axi,maize,noun,food/grain
ariifa,the religious feast of arafa,noun,religious
ariiz,bridegroom; bridal house,noun,
ariiz agabara,bring the bride into the bridal house,verb,
ariiz ariiz,game of bride and bridegroom,noun,game
ariiz gay,the house where newly married couple stays for the first week,noun,
ariiz magba',the procession of bringing the bride into the new home,noun,
ariiz wata'a,leave the bridal house,verb,
ariiza,be naked due to poverty,verb,
ariizit,bride,noun,
arkut-be,very well; quite; very much; very,adverb,
arkut-um,especially,adverb,
arkut-zom,especially,adverb,
armalla,widow; divorced,noun,from Arabic
armalla waldi,a child who does not have a good upbringing,noun,lit. boy of a widow
armallit,widow; divorced,noun,feminine
arrat,tongue,noun,body part
arrat gudor,who has a bad tongue,adjective,
arrat masah,who has a bad tongue (lit. tongue like a knife),adjective,
arratam,who has a bad tongue,adjective,
arratiiinia,who has a bad tongue,adjective,
arsi,throne,noun,from Arabic
arti,night,noun,time; variant of artu
arti aif,bat (lit. bird of night),noun,animal
artis gar,house where newly married couple stays for first few weeks,noun,
artu,night,noun,time
aruz agaba'a,bring the bride into the bridal house,verb phrase,
aruz megba',the process of bringing the bride to the new home,noun,
as,oat,noun,food/grain
asa,make; act; have intercourse (euphemism),verb,
asaba,insert; introduce; put in; share with; include,verb,
asafara,line across a page,noun,variant
asagada,fall asleep,verb,
asala,climb; go up,verb,
asana,accompany; see off; bid farewell,verb,
asaqa,fall in love,verb,emotion
asara,effect,noun,from Arabic
asas,foundation,noun,from Arabic
asata,make smell good,verb,causative of sata
asay,mourning of the wife after her husband,noun,
asay fora,mourn (lit. she carried the mourning),verb,
asay tor-ti,mourn,verb phrase,lit. she carried the mourning
ase ase,kind of bird with different colors under different light; person who changes his mind,noun,animal
aselata,rescue,verb,causative of silata
asema,sell,verb,Semitic root
asena,accompany; see off; bid farewell,verb,
asenana,talk; speak; call someone,verb,denominative of sinan
ashab,companions of the prophet,noun,religion
ashiya,lizard,noun,animal
ashiyya,lizard,noun,animal; variant
asida,transport; take from one place to another,verb,
asidday,classmate,noun,
asin,shoe,noun,clothing
asir,explanation and translation of Moslem religious texts,noun,religion
asir day,classmate,noun,education
asir gay,higher religious education taken in the evening,noun,education
asir nasa'a,levy dues,verb,finance
asira,name of month,noun,time
aSirday,classmate,noun,
asita,young grain,noun,agriculture
asiy gar,higher religious education taken in the evening,noun,at house of teacher or nearby mosque
askakahti,cackle (fem.),verb,
askar,servant,noun,
askir,soldier,noun,from Arabic
asnaga,put things in order,verb,Ethiopic/Cushitic
asora,offer the sor,verb,from sor
asqasaqa,extract the substance of leaves; herbs or roots by boiling,verb,
asra kot,twelve,numeral,
asrahad,eleven,number,
asrahammisti,fifteen,numeral,
asraharat,fourteen,numeral,
asre,toward four o'clock,adverb,time
asri,time of prayer at four o'clock in the afternoon,noun,religion/time
asri subah,afternoon meal,noun,food/time
assarara,graft; mate animals,verb,causative of sarara
assat,slow,adjective,
assat baya,be slow,verb,
assat-be,slowly,adverb,
assawira,administer; busy oneself with housework,verb,from Arabic aswara
assenana,speak with one another; talk to one another,verb,reciprocal
asseqala,carry up,verb,causative of taseqala
assir,ten; double,noun,number
assirarahti,spider,noun,animal
assirarahti gar,spiderweb,noun,
assirarahti gay,spider web,noun,
assortan,tenth,adjective,ordinal number
asta,mark; scar,noun,
astixara,intoxicate,verb,causative of sixara
astra,line across a page,noun,
asurtayni,the third period of the biyag-season,noun,time/season
at,bone,noun,body part; cf. Heb. esem
at-horara,keep awake until late hour at night,verb,
at-kafala,separate two people who fight,verb,
at-kahala,reconcile people who did not agree,verb,
atabaga,tighten; take hold of something tenaciously; take care of something for someone,verb,
atabiga,make stick,verb,
atabitina,finger,noun,body part
atafaa,spoil; extinguish,verb,
atahana,grind finely; crush and powder,verb,
atahara,delay; postpone; stay behind; to last; be last; be late,verb,
atahara asri,time from four to six in the afternoon,noun,time
atahari,last; at last; at the end; later; after; afterwards,adverb,time
atahari asri,time in the afternoon between four and six,noun,time
atahari-x,so then,adverb,
atamasa,lose,verb,
atan,incense,noun,religion
atan hil,plant serving as medicine,noun,plant/medical
atan muday,basket for incense,noun,
atannakos,ball of rubber; game of ball,noun,game
atar,kind of beans,noun,food
atarafa,spare; gain,verb,
atarasa,make the teeth feel acid or sour; know things in detail,verb,
atawaga,inform,verb,
atawaq,chicken,noun,animal/food
atawara,make things alternate in quality and quantity so as to create a balance,verb,
atbadaha,mix two liquids in two different cups,verb,
atbalasa,spoil,verb,
atbitba,seed just came out of the ground; first leaf came out after the tree has been pruned,verb,
atein baya,be fast; be quick; be rapid,verb,
atéwiga,inform,verb,
atfalasa,cause to praise,verb,
atfara,invite one another,verb,
atfarvada,perform judgement,verb,
atfir,courage!,interjection,lit. do not fear!
atfirara,threaten; frighten,verb,
atfrvara,threaten or scare or terrify or frighten,verb,
atgebala,employ; hire; cause to sit; purge,verb,lit. 'make sit down'
atgidadara,respect one another,verb,
athadara,support,verb,
athak'a,make spill,verb,causative
atharara,irritate; offend; make angry; vex,verb,causative
athattara,shorten,verb,causative
athebara,ask,verb,from Ar. habara 'know' istabbara 'ask'
athewa,heal,verb,transitive/causative
athidadira,administer,verb,
atifia,we,pronoun,
atila,lees (mainly of beer),noun,drink
atildla,filter; strain,verb,
atina,fumigate,verb,
atiqa,set free,verb,from Arabic
atir,scent; perfume,noun,
atir asa,put on scent,verb,
atir qaba'a,put on scent,verb,
atkattiba,have an inscription written,verb,
atlahada,"connect, attach to one another",verb,
atlahaga,borrow from one another,verb,
atlamada,teach,verb,
atlas,kind of woman's black dress made of silk worn over the ordinary dress,noun,clothing
atlitala,suspend; hang in the air,verb,
atmala'a,fill up with various things,verb,
atmamaita,provide livelihood,verb,
atmasala,pretend / cause to be like,verb,
atmasita,make someone dislike someone or something,verb,
atnadada,irritate,verb,
atnafasa,take a rest,verb,
atnasa'a,give the son in marriage,verb,
atqabara,help in the burial,verb,
atqabata,disappear; vanish,verb,
atqfata,imitate,verb,
atragaza,support,verb,
atramata,provide livelihood,verb,variant with inserted r
atratara,shake the grain on the afuftu-plate to separate it from sand or to separate the finely ground flour from the unground,verb,
atrexaba,hand over,verb,causative of raxaba
atta,this (fem.),pronoun,demonstrative
attabar,quarrel,noun,
attaga,contribute,verb,
attalala,deceive; cheat,verb,
attalay,cheater,noun,
attawaga,inform,verb,variant
attay,place; part; group; space,noun,
attay dug baya,reach the destination or reach the climax,verb,
