harari_latin,english,category,notes
adet,woman,noun,probably from Cushitic
indet,woman,noun,variant of adet
adil,just,adjective,from Arabic
beni adem,mankind,noun,from Arabic bani adam
adim,tanned hide (mostly red),noun,from Arabic
udma,forest; uncultivated land,noun,from Galla
aden,cat,noun,probably from Cushitic
addinya,world,noun,from Arabic
adiga,throw someone to the ground; cause to fall,verb,causative of wadaga fall
adari,pigeon,noun,from Cushitic
adare,city of Harar; language of Harar,proper noun,name used by Galla and Somali
adurru,cat,noun,from Cushitic
zabad adurru,civet cat,noun,
adawa,enemy in war,noun,from Arabic
adawi,enemy in war,noun,variant
adawinat,animosity,noun,
adiyay,swing,noun,
af,mouth; entrance,noun,Semitic root
af zala,talkative,adjective phrase,lit. who has a mouth
af zelela,mute,adjective phrase,lit. who has no mouth
beri af,entrance of gate,noun phrase,
af faleera,eat,verb phrase,lit. the mouth has broken the fast
af wafew,promise,verb phrase,lit. the mouth (or word) went out of him
mislilalti af,spout of coffee jar,noun phrase,
afa igi,food,noun phrase,lit. mouth and hand
af-be zeyitgo,insult,noun phrase,lit. a thing that one does not bring out from the mouth
iif,nose,noun,Semitic root
tot af,nipple,noun phrase,lit. nose of breast
iif lihada,become rich,verb phrase,lit. hold the nose (out of pride)
af tallaqa yis,let him make a fool of himself,phrase,lit. let him plunge with his nose
megdef af,animal chest,noun phrase,
iif,bird,noun,Semitic root
af gay,nest,noun phrase,lit. house of bird
orti iif,bat,noun phrase,lit. bird of night
durva iif,hoopoe bird,noun phrase,
hurdi af,kind of bird,noun phrase,lit. yellow bird
iif geddela,sling used for killing birds,noun phrase,
af,early morning,noun,lit. the twitter of the bird
uf baya,blow; blow out; blow on the fire with the mouth,verb phrase,
ufti bag,bamboo used to revive fire by blowing through it,noun phrase,
uff,exclamation of fatigue or boredom,interjection,onomatopoetic
uffa,cover for holes; lid made of basket work; stopper,noun,from Cushitic
afoca,neighbor; neighborhood; section of locality; association of neighbors,noun,from Cushitic
gay afta,neighbor,noun phrase,even if not belonging to same afoca
afta leta,join the afoca,verb phrase,
afta tedebala,join the afoca,verb phrase,
afdiga,fireplace; kitchen,noun,from Ethiopic root for burn
afdiga iin,fireplace stones,noun phrase,
afdiga waldi,boy who stays in the kitchen,noun phrase,lit. the boy of the fireplace
afitftu,plaited basket to winnow grain,noun,from Cushitic
afgon,worn out (cloth),adjective,
aflala,black jar serving to store small objects of women,noun,from Galla
aflala uffa,special cover made of basket work for the aflala,noun phrase,
afaqa,broken gourd; small gourd,noun,from Cushitic
tufti afaqa,pot used for spittle,noun phrase,
afar,clay; soil; earth,noun,Semitic root
nigih afar,kind of white earth serving to whitewash walls,noun phrase,
geh afar,kind of red earth serving to paint floor,noun phrase,
afiy ajar,game consisting of throwing earth at one another,noun phrase,
afiy wanag,strong but lazy,adjective phrase,lit. a lion made of earth
afiy+noun,useless,adjective,
afi qabgib asa,be very angry,verb phrase,lit. pour or shake the earth
afet,health; payment as salary; wages,noun,from Arabic
afet-zo girgara asa,help by contributing one's services,verb phrase,lit. help with one's health
ufti bag,bamboo serving to revive fire by blowing through it,noun,
ufti qalam,bamboo serving to revive fire by blowing through it,noun,
aftir,first meal taken at sunset in Ramadan period,noun,from Arabic
afwi,forgiveness,noun,from Arabic
afwi asa,forgive; pardon,verb phrase,
afiya,health,noun,from Arabic
iiga,road; street; way; means,noun,from Cushitic
iiga leta,travel,verb phrase,lit. go on the road
iiga midabiya,crossroad,noun phrase,lit. meeting place of the roads
hamiyal iiga,motor road,noun phrase,lit. road of trucks
qegin iiga,lane,noun phrase,lit. thin or narrow road
agabari,herd; domestic animals; cattle,noun,from Cushitic
agabari qehri,shepherd,noun phrase,lit. who tends the herd
agbari ageca,drive the cattle to the field,verb phrase,
agobar,tent,noun,also in Cushitic
aguda,bind; tie,verb,Semitic root
ugud,tied; prisoner; bundle,noun/adjective,
hangot aguda,gird,verb phrase,lit. bind the belt
ageadu,cattle pen,noun,
agagul afina,not be done properly; not be done on time,verb phrase,probably from Galla
aguga,fog,noun,from Cushitic
agala,begin; start (transitive),verb,from Cushitic
tagala,begin (intransitive),verb,
megel,beginning,noun,
-be megel,since,preposition,
hogi-be megel,henceforth,adverb phrase,lit. beginning with today
agaim,kind of berry,noun,also in Cushitic
agar gazi,governor of a province,noun phrase,from Amharic
agri,shield,noun,from Cushitic
agri-be xatira,ward off with a shield,verb phrase,
igir,foot,noun,Ethiopic root
qafin igir,messenger,noun phrase,lit. slender foot
igir surrab,socks,noun phrase,
igir hubba,soccer,noun phrase,lit. ball played with foot
agrannya,pedestrian,noun,
agargiira,kind of grass serving to make baskets,noun,
agraiinnya,pedestrian,noun,variant
agrawaaram,arms,noun,lit. shield and spear
