harari_latin,english,category,notes
xata?,error,noun,from Arabic
xata? asa,be mistaken,verb,
xtaba,preach,verb,from Arabic
xutba,"minaret, sermon",noun,
xutba asa,preach,verb,
xatib,preacher,noun,from Arabic
aw xatib,preacher,noun,
xiyana,treachery,noun,from Arabic
xayri,good,adjective,from Arabic
xayat,tailor who sews by hand,noun,occupation; from Arabic
xazal,gazelle,noun,animal
xazna,treasury,noun,from Arabic
xazarani,walking stick of bamboo,noun,from Arabic gayzuran
la... wala,neither... nor,conjunction,from Arabic
-le,"to, for, in order that",preposition,
la?u,time of greatest heat of the day (12 to 2),noun,time
la?u ir,the sun of the time of the greatest heat,noun,
la?axa,send,verb,
laxa,send,verb,
lu?lu?,pearl,noun,from Arabic
lay,above; on; over; top; upper,preposition/adjective,
lay-an lay asa,heap up,verb,
lay moriga,small basket lying on top of a large one,noun,
sirilabba,slope,noun,from Cushitic
labib,"flame, kind of lamp with a wick",noun,
lablab baya,"flame, flicker",verb,
labin,yawning,noun,
labin asa,yawn,verb,
labinam,who yawns,noun,
labin,brick,noun,from Arabic
libanat,incense,noun,from Arabic
libanat lafu,incense-growing tree,noun,
labaqa,lash (verb),verb,
labaq baya,"wrap oneself in the toga, throw a cloth over the shoulder",verb,
labaq bay,"cloth thrown over the shoulder, shawl",noun,clothing
labasa,dress (verb),verb,
lobabasa,dress completely,verb,
lobasa,dress (noun),noun,clothing
lafu,tree,noun,plant
lafu inay,log,noun,lit. the matron of the tree
lifa?a,"become flexible because of being rubbed, exert oneself, toil, be exhausted",verb,
alafa?a,"soften hide, knead",verb,
lifa?at,"help, fatigue",noun,
liflaf,lip,noun,body part
lagada,have intercourse,verb,
laggalagga,hockey,noun,sport/game
liglag baya-,feel shaky in the legs due to fatigue,verb,
ligi,"boy, son",noun,
ligi waldi,boy,noun,
ligi misti,daughter-in-law,noun,lit. the wife of the son
ligi abardda,give the son in marriage,verb,
lah baya,be loose,verb,
lah-be,loosely,adverb,
lah,"plank, board, wooden writing tablet",noun,from Arabic
lahada,"hold, seize, catch",verb,
atlahada,"connect, attach to one another",verb,
isat talahada,start to burn (fire),verb,
isat atlahada,"start a fire, kindle",verb,
if lahada,become rich,verb,lit. hold the nose (out of pride)
malhag,"pledge, security, handle",noun,
milhag,"pledge, security, handle",noun,
lahdi,niche in the grave to lay the corpse,noun,from Arabic
lahlah baya,be loose,verb,
lahlah asa,loosen,verb,
lahama,"become soft (skin, cloth), be tender (meat), be easy (test)",verb,
lihim,"soft (skin, cloth), tender (meat), easy (test), of weak character (person)",adjective,
lihim-be,easily,adverb,
talahaqa,borrow,verb,
alahaqa,lend,verb,
atlahaga,borrow from one another,verb,
lahasa,lick,verb,
gabata lahhasa,ring finger,noun,body part; lit. that which licks the table
lahata,peel off the tender bark of the branch or of the tree,verb,
luhut,peeled off,adjective,
ingi lahif,thin bark of tree,noun,
lakam,near,adjective,
lakim baya,"be near, be close, come close, approach",verb,
lakim asa,bring near,verb,
lakin,but,conjunction,from Arabic
lakiskis,who mingles in trifling matters,noun,
laxa,send,verb,
lax,"messenger, envoy, message",noun,
din lax,messenger who does not come back or who does not deliver his message,noun,lit. messenger of stone
laxad turuh,errands,noun,lit. sent and called
laxa turuh asa,run errands,verb,
-lal-,is not,verb,relative negative of verb to be
lali,night,noun,
layli,night,noun,
lullugatta,the rinsing of the mouth after each course of qat,noun,
lam,cow,noun,animal
qulullu lam,cow without horns,noun,animal
lam gif,dung of cow,noun,
limi,origin (in compound limi-wa nasab),noun,
limi murjan,kind of pearl,noun,
lama?a,be extinguished (light),verb,
alamara,extinguish,verb,
lamba,lamp,noun,from Arabic/Italian
lamada,"study, learn",verb,
talamada,"be known, be customary",verb,
talamada,"be accustomed, be acquainted",verb,
atlamada,teach,verb,
limad,"custom, experience",noun,
limdi,custom,noun,
lamad,naturalized,adjective,
ga lamad,a person assimilated to the way of life of the inhabitants of Harar,noun,
lemam,"cream, skin of boiled milk",noun,food
lamina,sample,noun,from Persian via Arabic
lamat,large basket,noun,container
limay,"success, relief, something that is better",noun,
laqi,senior in scholastic degree in relation to alaf,noun,education
laqa,"grow, grow up",verb,
alaqa,bring up,verb,
alaqaha,lend,verb,
talaqaha,borrow,verb,
laqah,loan,noun,
laqah sata,lend,verb,lit. give a loan
liqih-be asama,sell on credit,verb,
liqlaqa,mix solids,verb,
alqlaqa,"rinse, gargle, whitewash",verb,
gar algalaga,whitewash the house,verb,
luqlug,"rinsed, whitewashed",adjective,
laqama,pick up,verb,
luqma,mouthful,noun,from Arabic
luqma asabat,take a mouthful,verb,
laqin,main meal (taken by farmers in morning; at midday by merchants),noun,food/meal
laqaqa,twist out of joint,verb,
luqu? luqu? baya,feel symptoms of sickness,verb,
laqita,"mix, confuse",verb,
laslassa,"soft, smooth",adjective,
lotarina,express train,noun,transportation; from Italian littorina
lat,tail of sheep,noun,animal part
saylat,tail of sheep,noun,animal part
lata,"leave, walk",verb,
alata,push forward,verb,
karsi alata,purge,verb,lit. make the belly walk
fatan fatan-be lata,go fast,verb,
halaf halaf-be lata,walk fast,verb,
safar lata,practice trade,verb,
gaz lata,raid,verb,
taga lata,travel,verb,
afata lata,join the neighbors' association,verb,
gal laj-ti,participate in the girls' association,verb,
latif,gentle,adjective,from Arabic
lawa,"bow, arc",noun,from Cushitic
lawlaw da,swing (transitive),verb,
lawnat,color,noun,from Arabic
lay,"above, on, top",preposition,
lay-be,"above, on, about",preposition,
laya,"separate, distinguish, make single",verb,
luy,separated,adjective,
luy luy,separated,adjective,
ta-laya,differ,verb,
milaya,separation,noun,
layli,night,noun,
nisfi layli,midnight,noun,lit. middle of night
laz,ground nut,noun,food; from Arabic
lazom,"head of a locality, who is in charge of the mosque, caller to prayer",noun,occupation
lazom atawag,cock who crows and wakes up people,noun,animal
lazimnat,function of the lazim,noun,
-m,"as to, indeed",suffix,
mi,water,noun,
miy,water,noun,
mi magit,irrigation canal,noun,
mi gadu,well,noun,lit. pit for water
mi-masti,gourd with a hole in the middle serving to draw water,noun,container
mi qulu,gourd for water,noun,container
mi mulag,he who is in charge of distributing water for irrigation,noun,occupation
igi mi,water served before or after meal for washing hands,noun,
dis mi,honeyed water,noun,food/drink
mawardi mi,rose-water,noun,food/drink
mizar,kind of drum,noun,musical instrument; lit. river of water
mi asiba,pour water on something,verb,
mi madla?a,draw water from the river,verb,
mi asata,water a garden or flowers,verb,
mi qala,be shrewd and do impossible things,verb,lit. roast water
ma,or (in a question),conjunction,
ma-wa,or,conjunction,
mawa... mawa,either... or,conjunction,
ma?,no!,interjection,
mawaxxar,the first period of the bayag-season,noun,from Arabic
maaltu,day (in daytime),noun,time
maltu,day (in daytime),noun,time
ma?ana,meaning,noun,from Arabic
mo?min,faithful,adjective,from Arabic
ma?ruf,"favor, please!",noun,from Arabic
ma?at,silver,noun,
mo?ot,wicker basket,noun,container
gulub mo?ot,basket covered with leather,noun,container
talal mo?ot,kind of basket used as decoration of the house,noun,container
ma?fara dukkan,grocery store,noun,commerce; from Arabic
mo?oy,"the spending of the day, day (24 hours), often",noun,time
mu?azzin,caller to the prayer,noun,occupation; from Arabic
ambabara,heap up,verb,
mibla?,food,noun,
mablal,dissolute life,noun,
mabana-be,"between, among, within",preposition,from Arabic bayna with prefix ma-
mabrak,blessed,adjective,from Arabic
mat,when?,adverb,
tamata,"suit, be suitable, be convenient",verb,
mata,wash clothes; (in slang) sell,verb,
mimata,place of washing clothes,noun,
basar maga,spatula for meat,noun,utensil
mitaq,matter in the eyes,noun,medical
mitig asa,squeeze something so that it squirts,verb,
mitiriq,spittle in spurts,noun,
mitiriq asa,spit in spurts,verb,action used by women to show contempt
middi,ink,noun,from Arabic
madu,"across, beyond, yonder",preposition,
midu,short comb with several teeth,noun,grooming tool
midu asa,comb (verb),verb,
madabaya,"meeting point, center",noun,
taga madabaya,crossroad,noun,lit. meeting point of roads
madafa?,cannon,noun,weapon; from Arabic
middamatsa,bow for carding wool,noun,tool
madan,plain,noun,geography; from Arabic
madrasa,school,noun,education; from Arabic
horottania taga madrasa,secondary school,noun,lit. the school of the second grade
maddasa,hammer,noun,tool
muday,kind of basket with conical cover used as container,noun,container
iraz muday,basket for clothes,noun,container
bissa muday,small basket for chewing gum,noun,container
atan muday,basket for incense,noun,container
