harari_latin,english,category,notes
zigaddra(zo),the biggest; the oldest,adjective,lit. 'that was big'
atgidadara,respect one another,verb,
gidir,big; great; large; main,adjective,
gidir naddaba,raised seat to the front,noun,lit. 'the main seat'
gidir an,rock,noun,lit. 'big stone'
gidir atabiritta,big toe,noun,
gidir kabir,principal teacher,noun,lit. 'main teacher'
gidir yam,holiday; festivity,noun,lit. 'big day'
gidir magala,the main market place in Harar,noun,
gidir hubab,python,noun,lit. 'big snake'
gidra,rank; social rank; respect; importance,noun,probably from Arabic qudra 'capacity power'
gidra in-be hefa,look at someone with respect; respect someone; revere,verb phrase,lit. 'look with the eye of respect'
gadura,be long; be tall,verb,
agaddra,lengthen,verb,
gudor,long; tall,adjective,
gudor tonfas asa,moan; sigh,verb phrase,lit. 'bring out a long breath'
ganawa gudor,kind of bird,noun,lit. 'long of tail'
gaf,dung; excrements,noun,
gaf asa,defecate,verb,
in gaf,matter in the eyes,noun,
lam gaf,dung of cow,noun,
gafa,slave,noun,
gafa cigar,hair growing in compact clusters resembling beans,noun,lit. 'hair of slave'
guf baya,fumigate oneself with incense,verb,
gufu,stump; (by extension) midget; dwarf,noun,from Galla gufu
gofa'a,push,verb,Geez gaf'a 'oppress hurt'
gofa,push,verb,
tagfafa,push one another,verb,
gofila,be lean; meager; become emaciated,verb,
gofay,lean; meager; emaciated,adjective,
gafara,let go; release; loosen; send a thing,verb,
gufar za,release; give up by releasing,verb phrase,
tagafara,be separated from one another; gallop (horse),verb,
aigafara,make the horse gallop,verb,
gufur wagara,who is without restriction,noun,lit. 'a released donkey'
gifta,lady,noun,from Galla gifti
gofta,master,noun,from Galla gofta
gufit,stem,noun,Galla gufa 'trunk of tree'
gufta,net for hairdress of married women (in two balls); married woman,noun,also in Galla gufta
gufay,lean; meager; emaciated,adjective,see gafila
guga,impurities in honey,noun,from Cushitic Galla gegga
gigi,young of animals,noun,
gamala gigi,young of camel,noun,
goga,hide; leather; skin,noun,from Cushitic Galla goga
gugguba,kind of yellow earth used for the roof to prevent water from seeping through,noun,
gagama,be convalescent,verb,
gagara,bake,verb,probably denominative of 'bread' Amharic ingera
gogo,hut,noun,from Cushitic Galla gogo
gih,embers; cinders,noun,perhaps from ghm 'become red-hot'
goha,indistinguishable noise produced by a crowd,noun,from Cushitic Galla goha
tegahama,become red-hot; be very hungry,verb,Semitic Arabic fahim 'fire'
tagahara,get hoarse,verb,
gahata,nibble the meat from the bone or the flesh of the fruit from the stone,verb,
gohoy,native beer,noun,from Cushitic Afar gohoyw 'mead liquor'
gohoy aga,brew,verb,
gali,piece of tin or clay serving to carry fire from the neighbor's house; notched water pot,noun,
galu,hollowed place in an elevated ground,noun,from Galla galo
galla,pagan,noun,from the ethnic group of the Galla
galla gabar,ignorant,adjective,
gel,companion (girl); friend (girl); member of a girls' mugad-association,noun,from Cushitic Galla gele 'friend'
gel tadabalti,join a girls' mugad-association,verb phrase,
gel letti,participate in a girls' mugad-association,verb phrase,
gelnat,friendship between girls,noun,
honnagel,bridesmaid,noun,
gila,kind of antelope,noun,
gilab asa,close the door halfway; set ajar; close the door without locking it; close the book,verb,
in gilab asa,overlook,verb phrase,lit. 'close the eye halfway'
in galaba heft,a very short time,noun,lit. 'the closing and the opening of the eye'
agalaba,roast slightly coffee beans or coffee leaves,verb,
gulub,roasted slightly,adjective,
galib,knee,noun,from Cushitic Galla gilba
gilib-an gilib-be tageba,kneel,verb phrase,lit. 'sit on the knees'
gilib-be harsi asa,be lazy and inactive,verb phrase,lit. 'conceive on the knee'
galaba,cover the basket with leather or the like; cover the rims of a gourd with leather; bind a book,verb,
gulub baya,cover the head with cloth; wrap oneself in cloth,verb,
tagulalaba,cover the head and part of the face with cloth,verb,
gulub mo'ot,basket covered with leather,noun,
gilbabata,invert; turn upside down,verb,
gan gilbat,voracious,adjective,lit. 'who turns the jar upside down'
gulufa asa,run around wildly (horse) and be out of control,verb,probably from Cushitic
galgab,conversation,noun,probably connected with Somali falbeb 'conversation'
galgab asa,chat; converse,verb,
gilgala,repeat things,verb,Amharic gallagala 'repeat'
gilgil,a small tooth irregularly growing out of the regular line,noun,lit. 'the young one of the tooth'
galala,cut the fingernails; cut the edges; remove the impurities from the surface,verb,
tifir gallala,scorpion,noun,lit. 'that which cuts the fingernails'
galal baya,step aside,verb,
tagalala,watch the movements of someone by stalking him,verb,perhaps Tigrinya taguahalaya 'spy'
gulul,a piece of cloth put on the head helping to carry something or serving as base for a pot,noun,from Galla gulula
tagulalaba,cover the head with cloth,verb,frequentative form of galaba
galma,the tomb of the saint or the place where the spirit of the saint is admittedly supposed to be,noun,also in Galla galma
galamammu,well baked bread the bottom of which is light brown,noun,from Galla galamammu
gelas,horse-cloth,noun,
galata,gratitude,noun,from Cushitic Sidamo galata Somali Galla galata
galata qalil,ungrateful,adjective,
galatam,grateful,adjective,
galata,expose; uncover; explain,verb,Geez galasa
galzaw baya,be confused,verb,
gam asa,put the whole quantity (mainly of powdered things) at once into the mouth,verb,
gamma,mane,noun,from Cushitic Galla gamma
gim baya,be disgusted; have enough of eating either too much food or rich food,verb,
guma,blood-money,noun,from Cushitic Galla guma
gumma,tuft on which there is grain,noun,
gambari,entrance or door of the house,noun,for garbari
gambisa,hut of straw,noun,from Cushitic Galla gombisa 'thatched storage basket in open air'
gumi,cheek,noun,see gungi
gumut baya,rinse the mouth with water after having taken a definite quantity of gat; take a quantity of gat,verb,
gumut gumut baya,rinse the mouth with water after having taken a definite quantity of gat; take a quantity of gat,verb,
gumador,part of hair left after shaving,noun,considered as decoration
gimmogagi,lowland,noun,from Cushitic Galla gammoggi
gamala,fold,verb,
gimamala,fold in several places,verb,
gumul,bent,adjective,
gamala,camel,noun,Semitic Arabic jamal Hebrew gamal
gamila,camel,noun,variant of gamala
anasti gamala,she-camel,noun,
horma gamala,he-camel,noun,
gamala hangot,rainbow; jaundice,noun,lit. 'the belt of the camel'
gumna,person leading a promiscuous life (male),noun,from Galla gumna
gumnit,person leading a promiscuous life (female),noun,feminine of gumna
gamiri,wild hen,noun,animal
gumir,kind of grass,noun,from Somali gumer 'kind of plant that has a bad smell'
gumarre,hippopotamus; stiff whip,noun,
ganna,the rainy season of the year from June 22 to September 24,noun,from Galla ganna 'rainy season'
ganna huluf asa,spend the rainy season,verb phrase,
gan,big jar,noun,from Cushitic Galla gan
guna,bribe,noun,from Cushitic Somali guna Galla guna 'jar of wine'
ginabita,be frightened,verb,
gungi,cheek,noun,
gumui,cheek,noun,variant of gungi
ganda,village,noun,from Galla ganda
gundo,kind of small basket,noun,
ginnafi,breeches; pants; trousers,noun,from Cushitic Beja gonfa gompa
ginge,stammering,noun,from Cushitic Galla ginge
ginge hal-ba,stammerer,noun,lit. 'he has stammering'
gingilca,sieve,noun,probably from Galla gingilca
gangora,leopard,noun,see gargora
ganga,tendon; (by extension) obstinate; tough in cooking,noun,probably from Cushitic
ganan,cooked dough; spoiled child,noun,from Cushitic Galla ganana
ganan asa,cook the dough,verb,
ganan qara,stick serving to stir the cooked dough,noun,
gana,throw; throw away,verb,Cushitic Somali gan 'throw away' Galla ganu 'abandon'
agana,find; get; obtain; gain; meet; earn,verb,
adgana,reach someone or something,verb,
garib agasa,get a share,verb phrase,
dif aganew,he was affected by an evil spirit,verb phrase,lit. 'the wind got him'
mat agana,make money,verb phrase,lit. 'find (things of) this world'
gar,house; room,noun,
garat,household; family,noun,lit. 'houses'
garbari,entrance or door of the house,noun,
gara abat,house and yard,noun,
garabat,house and yard,noun,variant of gara abat
gidir gar,the main house,noun,
fit gar,small house adjacent to the main house,noun,
sar gar,house with thatched roof,noun,
zingo gar,house with a roof of corrugated iron,noun,
mambarta gar,living room,noun,
gar eqad,the front room,noun,
mait gar,bedroom,noun,
gar asa,establish a family; get married,verb phrase,
gar athadira,support a family,verb phrase,
gar zala,master of the house,noun,lit. 'he who has a house'
gar zale,mistress of the house,noun,lit. 'she who has a house'
gare abba,husband,noun,lit. 'the man of my house'
gare abbayyo,wife,noun,lit. 'the lady of my house'
gar walda,the child born by the gar (freed female slave taken as wife by her master),noun,
gar wandaq,servant hired for house service,noun,
gar hawaz,household; family; a member of the household,noun,
gar afoca,neighbor (even if he is not a member of the afoca),noun,
gar mahawa,objects of the house,noun,
