harari_latin,english,category,notes
siraf asa,change money,verb,from Arabic sarafa
sarfi,the seventh period of the hirmi-season,noun,from Arabic as-sarja
sarkam hay,freshly milked milk,noun/food,see hay milk
sarara,mount (male on female),verb,Ethiopic root
assarara,graft; mate animals,verb,causative of sarara
sirsir baya,take off the meat from the left-over bone,verb,
sarsara,small incisions on the lower part of the back,noun,
sarsira,saucer,noun,
sirat,manners; behavior,noun,from Arabic sira
sas baya,stoop; bow down; bend down,verb,
sasa,thirty; (by extension) teeth,numeral/noun,teeth are called sasa because a grown-up has thirty teeth
sisa,dust,noun,from Cushitic
sis,moth that eats wood; kind of black ant,noun/animal,from Arabic sis; Accadian origin
sussum,bundle of qat the stems of which are shortened,noun,
sissit asa,be greedy,verb,Ethiopic root
sisotam,greedy; avaricious,adjective,from sissit asa
sista,after tomorrow,noun,lit. three days from today
sestina,before yesterday,noun,lit. three days ago
seti,basket containing a plate used for storing biscuits,noun,
sat al-qim,the whole body,noun,probably from Arabic sa'at meaning extent
satti,seven; week,numeral,Semitic root
sattan,seventh,ordinal,from satti
sitti biqla,kind of sazifa-shawl given to the bridegroom,noun,perhaps lit. seven hundred
sitti bari,small door leading from men's room to women's room,noun,sitti from Arabic sitt meaning woman
sit,eight,numeral,Semitic root
sittan,eighth,ordinal,from sit
sittin,sixty,numeral,from Arabic sittin (dialectal)
satara,curtain; partition serving to hide the view,noun,from Arabic situra
sitra,the two front teeth,noun/body,
sutri,secluded part; seclusion,noun,from Arabic sitr
sita,give,verb,Ethiopic root
siti,tapeworm; anthelmintic,noun/medicine,
sisti,three,numeral,Semitic root
