harari_latin,english,category,notes
haga fig,who accomplishes promptly the needs of someone,noun,
haggi,pilgrimage,noun,from Ar. hagg
hagi,pilgrim (masc.),noun,
hagiya,pilgrim (fem.),noun,
aw hagi,husband,noun,lit. 'father pilgrim'
ay hagiya,wife,noun,lit. 'mother pilgrim'
hega,look; look at; watch something,verb,Sem. Heb. hazah
fit hega,show favor; be partial,verb phrase,lit. 'look at the face'
gidra in-be hega,look at one with respect; revere,verb phrase,
dulla hag,opportunist,noun,lit. 'who looks at the whip'
hogi,today,noun,Tna. hazi ogi 'today'
hogi moy,nowadays; today in daytime,noun,
hogi orti,tonight,noun,
hogi amit,this year,noun,
hogi-be magal,henceforth,adverb,lit. 'beginning with today'
hudga,evidence; document; deed,noun,from Ar. hugga
hagis,new,adjective,Sem. Heb. hadas 'new'
hagis-be,anew,adverb,
hak,sound used to make donkey advance or go to side,interjection,Ga. hag hag
hak baya,drive a donkey,verb,lit. 'say hak to the donkey'
heka,chew,verb,Sem. Heb. hik 'palate' Ar. hanak
hakafa,dig with hoe and turn earth upside down,verb,from Cushitic: Ga. hakafe 'dig'
hakafa,hoe; shovel,noun,
hakaka,scratch the itching part of the body,verb,Sem. Ar. hakka 'scratch'
hakala,adze; cut and chip stones,verb,Te. hakel 'ax'
hokkola,lame,adjective,from Cushitic: Ga. hokkolo
hakima,bit (part of bridle),noun,from Ar. hakama 'martingale'
hakima,judge; rule; recite daily lesson of Koran to teacher,verb,from Ar. hakama
hukmi,judgment; law,noun,from Ar. hukm
hakim,physician,noun,from Ar. hakim
hal,there is,verb,G. hallo
hal-a,he has,verb phrase,lit. 'there is to him'
hal,state; situation; manner; behavior,noun,from Ar. hal 'situation'
hala amal,character; behavior,noun,
halin-zo,immediately,adverb,
halle,kind of play,noun,from Ga. halle 'singing and dancing'
halle tafaqara,dance,verb phrase,
halu,ill-feeling; grudge; spite,noun,from Cushitic: Ga. halu 'grudge'
halu zala,vindictive,adjective,lit. 'who has a grudge'
hil,kind of cabbage,noun,G. haml
hulla,kind of silk cloth,noun,from Ar. hulla
hullu,truth; true,noun/adjective,from Cushitic: Qab. halali 'truth'
hullu-be,truly; surely,adverb,
is-hullu,true,adjective,
ishullu-be,truly,adverb,
hullagna,truthful,adjective,
halib,sleek hair,noun,from Cushitic: Som. halab 'long shaggy hair'
halab raggata,hair that is neither coarse nor sleek,noun,
halib digar,sleek hair,noun,
haliba,milk (v.),verb,Sem. Heb. halab 'milk' (noun)
hilbat,fenugreek (used as spice),noun,from Ar. hulba
halada,finish; accomplish; complete; bring to an end,verb,
tahalada,be ended,verb,
mathelad,end,noun,
halaf halaf baya,walk fast,verb,
halaf halaf-be leta,walk fast,verb phrase,
huluf baya,pass; exceed; surpass; go beyond something,verb,Sem. Heb. halap 'pass'
huluf zaya amat,last year,noun phrase,lit. 'the year that passed'
-be huluf,more than,preposition,lit. 'passed in relation to'
huluf asa,spend time; experience,verb,
halal,allowed (morally and legally),adjective,from Ar. halal 'morally allowed'
halal-,one's own (with suffixed pronoun),adjective,
halal asa,slaughter,verb,lit. 'make the meat allowed'
halal masah,slaughtering knife,noun,
hallale,game of jacks (played by girls),noun,
halim,mild,adjective,from Ar. halim
halaqa,count; consider,verb,Sem. Ar. halaqa 'measure'
hilgi,number; things few in number so can be counted,noun,
hilgi inta,it is countable; it is rare,verb phrase,
halas,girl who stands or sits in front of boys singing at wedding,noun,
halas waratta,get up from nadaba and stand/sit on chair while boys sing,verb phrase,
hallas,smooth,adjective,
hallas xana,be smooth,verb phrase,
halas,horse of good breed,noun,
halat,situation; way of life,noun,from Ar. hala
halat,laziness,noun,
halat asa,be lazy,verb,
halatam,lazy,adjective,
halawa,kind of sweet,noun,from Ar. halawa
hama,calumniate; slander,verb,
hama'a,calumniate; slander,verb,variant of hama
hummi,trunk of elephant,noun,from Ga. humbi
humma,fever,noun,from Ar. humma 'fever'
hamba,leftover food,noun,from Cushitic: Ga. hamba
humba batti,moo (cow),verb,onomatopoetic
humba biya,crawl (child),verb,
hambilla,swelling of eye caused by bite of insect,noun,
hambirti,navel; middle part,noun,G. hombort
hambata,spear,noun,
hambay-le,exclamation of approval,exclamation,
hamati,son-in-law; father-in-law; male relatives on husband's or wife's side,noun,Sem. Heb. ham 'father-in-law'
hamati-ga,relatives through marriage,noun,
hamacac,male relatives on both sides,noun,
hamad,ashes,noun,G. hamad 'ashes'
hamade,gray,adjective,i.e. 'who has the color of ashes'
hamadam,who looks hungry; underfed,adjective,lit. 'who has appearance of ashes'
hamdi,praise; thanks,noun,from Ar. hamd
hamdi asa,praise God,verb,
hamdi agiba,thank,verb phrase,
