harari_latin,english,category,notes
addamaga,make lively,verb,causative
admasa,demolish or destroy or annul or violate,verb,
tadimdsa,be demolished,verb,passive
wardi adamisa,annul the promise,verb,
hikli adamasa,violate an agreement,verb,
ganiin adamasa,violate the regulation,verb,
dumus,destroyed,adjective,
damaz,salary,noun,from blood and sweat
dina,cloud,noun,nature
din,belief or religion,noun,from Arabic
din,sulphur,noun,
dinay,kind of drum,noun,musical instrument; lit. river of sulphur
dina,enemy,noun,from Galla
doni,small boat,noun,vehicle; from Arabic of Persian origin
dani,light yellow or dull or not bright,adjective,color
dindbata,be frightened or be startled,verb,
dimbag,fright,noun,emotion
dinnicca,potatoes,noun,food
dinadin,tortoise or slow in action,noun,animal; from Somali
dangulle,pea,noun,food; from Cushitic
dongora,pick,noun,tool; from Galla
denges baya,become numb (foot or hand),verb,
doanki,midget or dwarf,noun,
dankay,clod of earth,noun,
addanan-ti,carry something on the head without supporting it with the hand,verb,feminine
dandqa,be amazing or be surprising,verb,
dandqa-,be surprised or be amazed or be astonished or wonder,verb,
dongi,splendid or strange or wonder,adjective,
dingi,splendid or strange or wonder,adjective,variant of dongi
yidangizal,marvellous,adjective,lit. that which is marvellous
donga,deaf,adjective,used as abuse
danga xana,be deaf,verb,
dansi,dance,noun,from French
danta,the care for something,noun,
danta zilala,careless,adjective,lit. who has no care for anything
danta-m ala,he does not care or he does not mind,phrase,lit. he has no care
dantamale,carefree,adjective,
dinat,property or wealth or possession,noun,
dinat-,one's own,adjective,with suffixed pronouns
dinat abilala,embezzle the money,verb,
dinzr,kind of drum,noun,musical instrument
dannia,secular judge,noun,from Amharic
diqaa-be,accurately,adverb,from Arabic
doqa,small circular beads of glass,noun,from Cushitic
dug baya,arrive suddenly or arrive quickly in time or come for a moment or come closer,verb,
dug aSa,reach the destination,verb,
attay dug baya,reach the destination or reach the climax,verb,
digala,bastard or illegitimate child,noun,
digala waldi,bastard or illegitimate child,noun,
daqiya,goose or duck,noun,animal; from Cushitic
dar bissi,lemon,noun,food
ddra,storage room near the secluded womens room,noun,building
naddbi dara,a built-in closet on the right wall serving as storage for valuable things,noun,building
ddra saman aa,pretend to fast,verb,lit. make the fast of the storage room
dirre,plain,noun,geography
dirre-be,in the open or on display,adverb,
dor,brave,adjective,
dora,low ground between two gidab,noun,geography; from Galla
dir,vagina,noun,body; from Cushitic
durra aif,hoopoe bird,noun,animal
dara'a,hurt unintentionally someone who is wounded or hurt morally someone who has a black spot in his life,verb,
darbi,stone house,noun,building
darbi gay,Harari style stone building,noun,building
darbi ingi,pieces of wood used as frame for the wall and as support of the roof,noun,building
darrab aSa,double,verb,
diraraba,pile up,verb,
durballe,kind of bird,noun,animal
deradara,arrange,verb,
darga,outside of city,noun,geography
darga ust,country man,noun,lit. the man of the outside of the city
darga budi,wolf,noun,animal; lit. dog of the outside
dirga wdgdra,zebra,noun,animal; lit. donkey of the outside
daraga,rank,noun,from Arabic
horotian daraga madarasa,secondary school,noun,
durgi,shell,noun,from Arabic
darma,young man or single (male),noun,
darma,a boy before reaching the age of darma,noun,
darma ligi,young man,noun,
darma wali,unmarried man beyond marriageable age,noun,lit. saintly young man
zaman darma,modern youth,noun,lit. youth of the present time
darma-wa wakati,young people,noun,lit. young man and young girl
darmanat,youth of a boy,noun,
darmanat-wa wakatinat,youth,noun,
daran,surpassing a limit,adjective,from Galla
darandaran,above everything,adverb,
kimandaran,more than everything,adverb,
kabandaran,more than everything,adverb,
daraqa,be dry or be stiff,verb,
durriq,dry,adjective,
duriq qahwa,coffee without any food taken with it,noun,lit. dry coffee
hirsi madraq,constipation,noun,lit. dryness of the stomach
hirsi dirgat,constipation,noun,lit. dryness of the stomach
addaraqa,force,verb,
dirgi,coercion,noun,from Cushitic
dirgi-be,compulsory or necessarily,adverb,
dirqaS,dried grass or straw or hay or dried powder of leaves of cat,noun,
darar,harm or injury,noun,from Arabic
darar aa,harm,verb,
darara,grain boiled in water made especially for gatherings,noun,food
dirraba,pile up or put one thing on top of another,verb,
darasa,wandering scholar usually about thirteen or fourteen years old,noun,from Arabic
darsi,lesson,noun,education; from Arabic
darat,large plaited basket,noun,container
das,shelter consisting of a roof only,noun,building; from Cushitic
diis,honey,noun,food
diis mi,honeyed water,noun,lit. water of honey
dis qaca,remove the honey from the beehive,verb,
diis cifa,honeycomb remaining after the honey has been sucked out,noun,
dami diis,honey produced by wild bees,noun,
diis uxat,honeycomb filled with honey,noun,
diis-be tulug,kind of sweet dish,noun,food; lit. dipped in honey
dasfag,kind of red ant,noun,insect; lit. that which destroys the honey
dissay,kind of drum,noun,musical instrument; lit. river of honey
dissar,kind of drum,noun,musical instrument; lit. river of honey
disti,waterfall,noun,nature
disti,pot of iron,noun,container; from Arabic of Persian origin
diS bya,sit down,verb,expression used by children
diS xana,be kept after school for failing to recite the lesson,verb,
dat,patch,noun,
dat aga,mend,verb,
dita dabat,full of patches,adjective,
duta aSa,run (animal) because of rage,verb,from Galla
daw,goat,noun,animal
horma daw,he-goat,noun,animal
anasti daw,she-goat,noun,animal
daw qandwa,who roams about aimlessly,noun,lit. the tail of the goat
daw arrat zdla?a,talkative,adjective,lit. who ate the tongue of the goat
dawwa,medicine or remedy or drug or purgative,noun,health; from Arabic
dawwa dukkan,drugstore,noun,building
dw amin gar dawwa,medicinal herbs,noun,lit. medicine from the family aw amin
son dawwa,meat,noun,lit. the medicine of the tooth
duwa,blessing,noun,from Arabic
duwa',blessing,noun,variant of duwa
duwa aa,bless,verb,
duwa roga,deserve blessing or get the blessing,verb,lit. steal the blessing
dawwal,bell,noun,from Cushitic
dawulla,weight of one-and-a-half an,noun,measurement
diwan,tribunal,noun,from Arabic of Persian origin
dawanabi,kind of musical instrument,noun,musical instrument
day,something in common,noun,
day aSa,contribute and share together or do something in common or make something in company or put things together for common usage,verb,
sum day,namesake,noun,
subat day,the sharing of the subat-meal practiced by children,noun,
wasan day,who has a common limit with someone,noun,
aSirday,classmate,noun,
akidday,classmate,noun,
diya,blood money,noun,from Arabic
dayni,debt of a big sum,noun,from Arabic
diz baya,make noise (falling water),verb,onomatopoetic
taf'ala,wish for something that depends on divine powers,verb,from Arabic
taf'ul,wish that depends on divine power,noun,
f'eur,mouse or rat,noun,animal
faga,grind,verb,
figa,flour,noun,food
faca,look for or search or seek,verb,
tafaga,seek one another,verb,
afaca,whistle,verb,
fid aSa,whistle,verb,
fia,flour,noun,food
fid fiz aSa,whistle,verb,
fuddi,podex or anus,noun,body; from Cushitic
fuddi forbi,worms of small children or a person who wants to know things that do not concern him,noun,
fuddi fohri,worms of small children or a person who wants to know things that do not concern him,noun,
fida?,sacrifice,noun,from Arabic
rul-zo fida ata,he sacrificed himself,verb,
faduga,grind coarsely,verb,
foddeg,kind of ant,noun,insect
fuddil,meddlesome,adjective,from Arabic
fuddella,strap around the tail of the horse,noun,equipment
fidum baya,forgive or pardon,verb,
fifi,mole,noun,animal
figa,running,noun,
figa aa,run because of rage or anger,verb,
figafaga,remove something sticky by rubbing strongly or dig the ground with paw or hand,verb,
figa,exterminate or wear out (cloth),verb,
haga figa,accomplish the needs,verb,
haga fig,who accomplishes promptly the needs of someone,noun,
dasfag,kind of red ant,noun,lit. that which destroys the honey
miy zifegubo,dirty,adjective,lit. a person on whom one uses up the water
imalabso zitfaga,lazy,adjective,lit. that which is destroyed before one puts it on
figa,wages,noun,
fugil,radish,noun,food; from Arabic
fagara,break through (sun),verb,
afagara,stay awake until the sun breaks through,verb,
fagri,dawn,noun,time; from Arabic
fah aSa,boil grain in water or steal (slang),verb,
fahama,be red-hot (coal or iron),verb,
fahni,enthusiasm,noun,
fehunquq bya,crawl on the behind,verb,
fahaqa,the cat-plant that is not put in a bundle but in a basket or bag,noun,plant
fahaqa,tan or scrub,verb,
fohri,worm of small children,noun,metathesis for fori
fakaha,become bright or bloom,verb,
fikak,of bright color or bloom or blossom,noun,
fakah jurdi,light yellow,adjective,color
tafaxara,boast,verb,from Arabic
faxri aSa,boast,verb,
fal,omen,noun,from Arabic
falannia,fortune teller,noun,
fal gay,fortune teller,noun,lit. house of omen
fala,divination,noun,from Galla
fila,long comb with one or two teeth,noun,tool; from Cushitic
fila aa,let the hair grow and arrange it with the comb,verb,
folla,hump of animal,noun,animal body part
fula,coward,noun,from Cushitic
fulanat,cowardice,noun,
fal'na,spoon,noun,utensil
falafila,detach a unit from the main bunch (bananas or corn) or shell or pick up grains one by one from the stock,verb,
tafliifala,break through (chicken through eggshell),verb,
falaha,boil,verb,intransitive
afulaha,boil,verb,transitive
fuluh,boiled,adjective,
falama,argument or legal argument,noun,from Cushitic
falama aa,have an argument or quarrel or deny,verb,
falana,spoon,noun,utensil; from Cushitic
falannia,fortune teller,noun,
falaqa,hit the head with a stone or stick so that blood comes out or the head swells,verb,
tafaliqa,be fractured (head),verb,
felqam aSa,chip,verb,
faluisa,praise,verb,from Galla
atfalasa,cause to praise,verb,
fullasa aSa,penetrate,verb,from Galla
falta,split wood with an axe,verb,
uriis filta,headache,noun,lit. splitting of the head
fongeq aSa,splash water,verb,
fingan,jar of clay,noun,container; from Arabic of Persian origin
finka,hip,noun,body
fangat,cutlet or bone of the hip,noun,body
faniis,lantern,noun,from Arabic of Greek origin
fant,half,noun,
-fani,toward or to,preposition,
fon aragaha,tend toward something,verb,
for baya,tend toward,verb,
ahad-hu fon arada,put aside,verb,lit. place toward one side
faqi,learned man in Moslem law,noun,from Arabic
fiq baya,move aside,verb,
tfaquda,take care of or nurse,verb,
tafaqara,play or play and sing,verb,
halle vifeqira,dance,verb,
faqay,song or poetry,noun,art
way faqay,lamentation song,noun,
faqiy aa,sing,verb,
fi tafeqdara,sing songs,verb,
faqay masasa,begin a song in which the singer is joined by another,verb,
figir qadada,sing in a loud and prolonged voice,verb,lit. cut through the song
matfaqar,game or amusement,noun,
matfaqar bagih,facetious,adjective,
yitfaqaraal,facetious,adjective,
fuqra,addict to cat,noun,from Arabic
fara,fear or be afraid,verb,
afrava,threaten or scare or terrify or frighten,verb,
atfrvara,threaten or scare or terrify or frighten,verb,
alla fari,Godfearing,adjective,
farat,fear,noun,emotion
frrvatte,fearful,adjective,
al-furatam,ill-mannered,adjective,lit. who is not fearful
atfir,courage!,interjection,lit. do not fear
fara,plane for wood,noun,tool
fara aa,to plane,verb,
afara,invite or invite the members of the afota to attend the funeral,verb,from Somali
atfara,invite one another,verb,
fori,seed of fruits,noun,plant
firi Sa,bear fruit,verb,
bun firi,coffee grain,noun,
far,mouse or rat,noun,animal
farvada,judge,verb,
atfarvada,perform judgement,verb,
