harari_latin,english,category,notes
baranonat,the stage of the newly married,noun,
berana,be bright; clear up (weather); shine (sun),verb,
aberena,illuminate,verb,causative
birrin,bright; clear; light,adjective,
barna,light,noun,
buranburre,spotted,adjective,reduplicated form
beraga,design; decorate,verb,
taberaga,be beautified; be decorated,verb,
buruq,decorated,adjective,
matbirariq,shiny appearance,noun,
baraq,lightning,noun,weather
biriq baya,scintillate,verb,
biririq baya,scintillate; flash (lightning); shimmer; appear in bright colors,verb,
burqa,spring,noun,water source; from Cushitic
birgama,abundant cat,noun,
barara,fly,verb,
abarera,be free and independent (young boy reaching puberty),verb,
baror,black cockroach,noun,insect
buris,kind of leprosy,noun,medical
barasam,leper,noun,medical; from Arabic baras
birasa,be abolished,verb,
(a)berasa,profane; abolish the effect of something,verb,
barasa,kind of white earth serving to whitewash wood of writing tablet,noun,
barasa aa,paint with the white earth,verb phrase,
bursi,furuncle,noun,medical
barti,stick,noun,
barti barti,game consisting of fighting with sticks,noun phrase,game
berti berti aa,fight with sticks,verb phrase,
brat,iron; metal,noun,material
birrat,mark on skin left by a blow,noun,
burtuxan,orange,noun,fruit; alteration of Portugal
birzi,honeyed water,noun,food/drink
birzi aa,dilute honey with water,verb phrase,
berzaz,dream,noun,
berzaz asa,dream,verb phrase,
basso,flour made from roasted barley,noun,food; from Cushitic
bis,sound used to chase away a cat,interjection,
besa,ancient coin; penny,noun,currency
besa,be preferred,verb,
abesa,prefer,verb,
bissi,fruit,noun,food; from Cushitic
dar bissi,lemon,noun,fruit
bisklit,bicycle,noun,from French bicyclette
buskumut,bread of millet,noun,food
bisala,be ripe; be cooked well,verb,
abisala,cook; bother,verb,causative
busul,ripe,adjective,
busul hurdi,dark yellow,adjective,color; lit. cooked or ripe yellow
bisaya,fruit,noun,food
bosana,thick forest,noun,nature
bisir,meat,noun,food
basara,rot; spoil (fruit); decay,verb,
bassis,spy,noun,from Arabic
bosiatti,bad housewife,noun,from Galla
bisat,rug of wool,noun,household; from Arabic
bissa,chewing gum coming from the libandt-tree,noun,food
bissa muday,small basket for chewing gum,noun phrase,
bus,cork; stopper,noun,
bus-be xadena,block up the opening of a bottle,verb phrase,
basbas,much (mainly used by children),adjective,
beSana,become watery; become diluted,verb,
abeSana,dilute,verb,causative
(a)bsena,twist two threads between the palms of the hands,verb,
beSaqa,be soaked; become wet; be drenched by rain,verb,
abasuqa,soak,verb,causative
bosoqa,stem of sorghum when it does not have a sweet taste,noun,plant
bisara,good news,noun,from Arabic
bito,left,adjective,direction; from Cushitic
bitota,left-handed,adjective,
betena,scatter,verb,
(ta)betena,be scattered,verb,
(ta)btatana,disperse,verb,
batti,dispersed,adjective,
betiskan,church,noun,for Ethiopic beta krastyan (house of Christians)
bututtu,worn out cloth,noun,clothing
bat,failure,noun,
bat aa,fail,verb phrase,
bata aa,shuffle (cards),verb,from Arabic
albata,confuse; cause to make a mistake,verb,
bitti,small and circular thing; small earring; small basket; small loaf of bread,noun,
uzun bitti,lobe of ear,noun phrase,body part
buttah,flat,adjective,
qarsi buttah,Maria Theresa thaler,noun phrase,currency
(a)batala,abolish,verb,from Arabic
batil,unjust,adjective,
batolnat,guilt,noun,
batni,voracious,adjective,from Arabic batn (abdomen)
batnalhud,second period of bayaq-season,noun,season; from Arabic
batusa,break by pulling,verb,
batatis,sweet potatoes,noun,food; from Arabic/Western origin
baw,rich,adjective,
ba'aw,rich,adjective,
bay,toga of men,noun,clothing
fota bay,kind of women's dress,noun phrase,clothing
kurumbay,elbow,noun,body part
salam bay,visitor,noun,
bayi,value; cost; price,noun,
bayi asa,transact business,verb phrase,
bayi-wa sira,business transaction,noun phrase,
baya,say; name,verb,
alla baya gir,if God will,phrase,lit. if God says
yil-z-al,gradually,adverb,
boy iraz,working apron,noun phrase,clothing
boyya,kind of wild pig,noun,animal; from Cushitic
bayaq,season of year from 24th March to 21st June,noun,season
-(le) bayti,because of,preposition,
-(be) bayti,because of,preposition,
yile bayti,because of this; therefore,adverb,
bazaha,be abundant; abound; be frequent; be numerous; increase,verb,
abuzaha,augment; overdo,verb,causative
bazuha gir,at the most,adverb,
bizha,abundance,noun,
bazif,much; many; abundant,adjective,
abzah,most; majority; the greatest part; mostly,adverb,
yibazhi,most,adverb,
yibazhi-zo,the majority,noun phrase,
bazay,idle,adjective,
bizaza,be blurred; be feeble (eyesight),verb,
cah baya,hurry,verb,
caf baya,bounce; leap; jump in short jumps,verb,
caf bir baya,jump around,verb phrase,
cifa,honeycomb remaining after honey has been sucked out,noun,food
cafcaf baya,skip,verb,
cah asa,do something by producing a noise,verb,onomatopoetic
takecah asa,do something by producing a noise,verb,
cahcah,anklet,noun,jewelry; onomatopoetic
cexala,build,verb,
cucul,built; style of building,noun,
cexal,peg,noun,tool
coxal aa,place a peg,verb phrase,
ciba,mud serving for building houses,noun,material
cubuqo,who lisps,noun,speech impediment
cagu,chick,noun,animal
cug,small black ant,noun,insect
cig baya,twitter,verb,bird sound
cig cigig,early morning (after fajri),noun phrase,time; lit. the twitter of the bird
cuf asa,drink up at one gulp,verb,
ciffe,marshland; swampy place,noun,geography
caf,branch; summit,noun,plant/nature
cif baya,ooze,verb,
cefiqa,crush something to change its shape,verb,
cifti,continuous drizzly rain,noun,weather
cigdir,hair,noun,body part
in cigdir,eyelash,noun phrase,body part; lit. hair of eye
(a)ceha,spread something in sun to dry it,verb,
afaceha,spread everywhere,verb,
chara,scratch leaving marks,verb,
isat cehara,take embers from fire,verb phrase,
cohot,soft soot of pots,noun,
cakka,forest,noun,nature
colle,beads used mostly for necklace or ornaments,noun,jewelry
coll mo'ot,kind of basket used as decoration; kind of earring worn on top of ear,noun phrase,decoration/jewelry
culullu,kind of bird of prey,noun,animal/bird
celama,be dark,verb,
cilma,darkness; dark,noun,
callem baya,sink,verb,
coma,fat meat,noun,food
camgim baya,make the sound of chewing,verb,onomatopoetic
camcam aa,make the sound of chewing,verb phrase,onomatopoetic
(a)cimalaga,spoil by dirtying or smearing,verb,
cimaqa,squeeze; wring (clothes),verb,
con,waist,noun,body part
con-be tahay,the lower part,noun phrase,lit. below the waist
con aqida,fasten the belt,verb phrase,
con fataha,foot the bill; steal someone's money,verb phrase,lit. untie the belt around waist
cingah asa,wrestle,verb,
(as)centiga,oppress; bother; annoy,verb,
(ta)cenaga,worry; get worried,verb,
ceniga-,it bothers,verb,
cingi,misery; trouble; difficulty; anxiety; distress,noun,
ceqa,stink; have a bad smell,verb,
coqna,bad smell,noun,
caqun,kind of plant that gives a bad smell,noun,plant; from Galla
ciqay,egg of the louse,noun,insect
cer,cliff; precipice; hole in the ground,noun,geography
cer asa,erode,verb phrase,
cera,remove the skin from the meat,verb,
cora,swatter made of hair of tail; snare for small birds,noun,tool
curara,be poured out in thin stream,verb,
cariqa,light of moon,noun,nature
carqi,small rag,noun,
(a)ceraqa,hold someone tight at neck so as to choke,verb,
cirar,dribble,noun,from Somali
cat,narcotic plant,noun,plant
cat quic,gourd for cat,noun phrase,container
cat moqiq,small mortar for cat,noun phrase,tool
caya,shade; shadow; luxury,noun,
caya-be leqa,grow up in luxury,verb phrase,
-de,to; toward,preposition,Cushitic element
da'afa,become weak,verb,from Arabic
da'if,weak,adjective,from Arabic
daim,always,adverb,from Arabic
daim-zom,always,adverb,
daim maxat,every night,adverb phrase,
da'wa,legal case,noun,from Arabic
dabba,raised ground,noun,geography
dabba,stupid,adjective,
dabbit,stupid,adjective,
dabbo,bread made of wheat flour,noun,food
dibbi,dignity; majestic appearance,noun,
dubba,pumpkin,noun,food/plant; from Arabic
dubbuco,bread mixed with pepper and salt made round like ball,noun,food; from Galla
dabala,add; put together; include,verb,
dabela,unite; connect; bring together two persons or things,verb,
tedabela,join,verb,
tedabila,participate; join one another; be united; interfere,verb,
dabli,meeting place; square,noun,
dibal,in addition; moreover,adverb,lit. add (imperative)
dibiya,addition; supplementary object given by merchant to buyer,noun,
madabelya,meeting point; center,noun,
dabal,jumping,noun,
dabal asa,dance jumping rhythmically; jump around happily,verb phrase,
dabal raqata,dance jumping rhythmically,verb phrase,
dabal wareda,participate in the dancing,verb phrase,lit. go down for dancing
dabbal,small finger ring(s) worn above and below main finger ring,noun,jewelry; from Arabic
daban,chin; beard; beard and whiskers,noun,body part; from Cushitic
dibiin absiq,kind of sweet dish made with flour,noun phrase,food; lit. it soaks the chin
dubbatita,stupid,adjective,from Galla
dabaqa,hide,verb,
(ad)dabaqa,fill utensil by immersing it so it makes bubbling sound,verb,
dabat,full of patches,adjective,
dibet,ink made of local products,noun,tool
dibet gar,inkpot,noun phrase,tool; lit. container of ink
dibeta qalam,writing utensils,noun phrase,tool; lit. ink and writing reed
dabay,female calf; heifer,noun,animal
dibaya,addition; supplementary object given by merchant to buyer,noun,
dac,ground; land; floor; surface,noun,from Galla
dad,love; affection; friendship,noun,from Semitic wdd
dad ahli,relatives by friendship,noun phrase,
dadu,thick mat of grass; skin used for sleeping,noun,household; from Cushitic
diddi asa,do the contrary,verb phrase,from Arabic did
dodo asa,lift someone by arms and legs and carry him,verb phrase,
dodo-be,by arms and legs,adverb,
duda,dumb; mute,noun/adjective,from Cushitic; used as abuse
