harari_latin,english,category,notes
nasab,origin,noun,from Ar. nasab
nasib,luck; fortune; chance,noun,from Ar. nasib
nasibam,lucky,adjective,
tanasaba,get along together; agree with one another; harmonize; match,verb,from Ar. tanasaba
nasfi,half,noun,from Ar. nusf
nushi,advice,noun,from Ar. nush
nasri,success,noun,from Ar. nasr
anta-,be sick,verb,
nattu,disease; sickness,noun,medical
nataga,vomit; rust,verb,from Ar. nataga
natara,bleed from the nose,verb,
natay,bleeding of the nose,noun,medical
natri,the third period of the kaymi-season,noun,time/season; from Ar. an-natra
nat baya,make a loud noise,verb phrase,onomatopoetic
nafnit,trumpet; harmonica,noun,musical instrument
anatafa,spread out carpet or grass to cover the ground on which one sits or sleeps,verb,
nataha,be white,verb,
anajaha,make white; clear a forest,verb,causative
nawata,change (intransitive),verb,
anawata,exchange; change (transitive),verb,
menawat,change; exchange; barter,noun,
nawaza,upset,verb,
niya,intention,noun,from Ar. niyya
nazi,ribbon tied around the hair above the forehead,noun,accessory; from Ga. nazi
nazifa,kind of shawl,noun,clothing; from Ar. nazifa or nasif
nazafa,be clean,verb,from Ar. nazif
anazafa,clean (verb),verb,causative
nasif,clean; tidy; neat,adjective,
nazafa,cleanliness,noun,
na,sleep,verb,
anna,lay,verb,causative
munt,sleeping,noun,
pilis,police,noun,from French police
qab baya,fall in drops; drop (intransitive),verb phrase,
qab asa,drop (transitive),verb phrase,
qabqab baya,fall in drops; it is dotted,verb phrase,
qibti,drop (noun); dot,noun,
qaba,kind of gourd for milk,noun,container; from Ga. qabe
qoba,equal (persons or one member of a pair equal to the other),adjective,
qab,heel,noun,body part
qubbi,cupola; dome,noun,architecture; from Ar. qubba
qaba'a,anoint; smear; paint,verb,
qababa,griddle of clay,noun,cooking utensil; from Ga. qibaba
qabag,lack (noun); poverty,noun,
aqabada,hand over,verb,from Ar. qabada
qabala,decrease,verb,
qubul,less; not full,adjective,
qabila,tribe,noun,from Ar. qabila
teqabala,receive; accept; join in a song,verb,
aqabala,hand over,verb,
qibla,north,noun,direction; from Ar. qibla
qabqab baya,drop; fall in drops; trickle; it is dotted,verb phrase,
qabara,bury,verb,Semitic
atqabara,help in the burial,verb,
qabri,grave; tomb,noun,
qabras,cemetery,noun,
qabata,lack; miss; not find,verb,
atqabata,disappear; vanish,verb,
tatqabata,disagree; quarrel,verb,
qabag,lack; poverty,noun,
qatsa,fiber,noun,material
qarse,not yet ripe,adjective,from Ga. qarse
qati,outside; exterior; outdoors,noun,location
qasa,go to the field; go to work; be absent-minded,verb,
aqasa,lead to the field,verb,causative
qasa,cut; break by pulling; decide; have intercourse (slang),verb,
qatna,stomach-ache; colic,noun,medical
qus,piece,noun,
qatin,thin; lean; slender; narrow,adjective,
-qada,while (preceded by the imperfect),conjunction,
qadi,judge dealing with civil law (marriage; divorce; heritage),noun,occupation; from Ar. qadi
qadada,tear; cut through; make an incision,verb,
qudud,torn piece; hole in clothes,noun,
qiddag,incisions made on the head for healing a wound,noun,medical
qadada,gourd for milk,noun,container; from Ga. qadada
qidad,glue used for fastening wooden pieces or for binding books,noun,material
qadaha,pour liquid from one container to another,verb,
qadama,advance; precede someone,verb,Semitic
qadimnat,antiquity,noun,from Ar. qadim
qadar,fate,noun,from Ar. qadar
qadra,value; importance,noun,from Ar. qudra
qof,nude; naked; empty,adjective,from Cushitic Ga. gofa
qafafa,cut the top or edge and make a hole,verb,
aqofala,lock; close; shut,verb,
maqofay,locker; conclusion,noun,
qifata,danger that may arise due to proximity of a source of evil,noun,abstract
qafit,forehead,noun,body part
atqfata,imitate,verb,
taqafata,compete,verb,
qeh,red; of light color (man),adjective,color; Ethiopic
qahar,acidity of the stomach,noun,medical
qabri,shepherd,noun,occupation
aqahara,lock the door with the maqarahti-locker,verb,
quhuy,locked,adjective,
qahat,small girl; daughter,noun,family
qahwa,drink made either from the beans; leaves or husk of the coffee tree or from the tea leaves,noun,beverage; from Ar. qahwa
qala,upstairs; upper story,noun,architecture
qala,roast; fry chopped meat,verb,cooking
qul,roasted,adjective,
qala,who squints,noun,physical description
qala,summer rain,noun,weather
qali,expensive; dear,adjective,from Ar. qali
qil,kind of black ant,noun,insect
qale,club; short stick with knob on one side,noun,tool; from Cushitic
qulaw,gourd; bowl,noun,container
qalaba,catch a ball; place one's leg between the legs of someone to make him fall; catch someone's leg to make him fall,verb,
