harari_latin,english,category,notes
-ka,indeed,particle,enclitic
-ku,in ayhu-be 'how?',particle,
ak'a,spill; leak through,verb,
tahak'a,be spilled,verb,passive
athak'a,make spill,verb,causative
ka'aba,testify,verb,
kaba,testify,verb,variant
keba,testify,verb,variant
ko'ot,two; both; pair,numeral,
kot,two; both; pair,numeral,variant
asra kot,twelve,numeral,
ahade ko'ot,argument back and forth,noun phrase,literally 'one and two'
ko'ot guiti,centre; middle,noun phrase,literally 'middle of two'
ko'ot gir,twice,adverb,
ko'ottan,second,ordinal,
ko'ottay mawlid,name of month,noun phrase,
kab,food that is additional to the inay gabeta,noun,food
kubba,ball,noun,from Arabic
igir kubba,soccer,noun phrase,sport; literally 'ball played with foot'
kabel,handful,noun,measurement; from Cushitic
kabal,two small pieces of wood hit one against the other for rhythm,noun,music
kabaalla,pestle,noun,tool; from Cushitic
kabandaran,more than anything,adverb,from Somali
kabir,religious teacher; native doctor who heals through amulets,noun,occupation; from Arabic kabir 'experienced'
kabirniit,profession of teacher; piety,noun,
kabir gay hara,visit the native doctor,verb phrase,literally 'go to home of native doctor'
gidir kabir,principal teacher,noun phrase,literally 'big teacher'
fit kabir,assistant teacher,noun phrase,literally 'small teacher'
kibri,pride,noun,from Arabic kibr
kibri yabis,proud without having reasons for it,adjective phrase,
kibratina,haughty,adjective,
kibritina xana,be haughty,verb phrase,
kibrit,match,noun,from Arabic
kubbayya,cup of metal,noun,container; from Arabic
kic baya,shrink,verb phrase,
kaddi,obstinate,adjective,from Arabic
kid,liver,noun,body part; from Semitic kbd
kid-zo-be qingib zibagala-bew,merciless,adjective phrase,literally 'person on whose liver a cactus grows'
kaf baya-,feel sorry; be sad,verb phrase,emotion
kafte,sorrow; sadness,noun,emotion
kafti zalba,who feels sorry,adjective phrase,
kif,lung,noun,body part
kufli,low shoe of Western type,noun,footwear
kofcor,locust,noun,insect; from Cushitic
kafafa,be light; be light-mannered,verb,
kafif,light,adjective,
kifala,pay,verb,
gobor kifala,pay taxes,verb phrase,
takifala,be accomplished (an objective),verb,
kifalot,paying back a favor,noun,
akafala,take responsibility for making necessary preparations of food for a festivity,verb,from Arabic kafala 'be responsible'
at-kafala,separate two people who fight,verb,
takafala,be relieved (e.g. woman after birth); deliver a baby,verb,
kafana,shroud,verb,from Arabic
kafin,shroud,noun,
kafir,infidel,noun,religious; from Arabic
kafata,open; uncover,verb,
kafata-,clear up (weather),verb,
mikfac,key; introduction,noun,tool
kafti,sadness; sorrow,noun,emotion
kafawi,kind of cloth,noun,textile
kufay,used leaves of tea or coffee or used husk of coffee beans after beverage has been brewed; leftover,noun,food
isif kufay,sediment after butter has been melted,noun phrase,food
kah baya,become dry due to heat,verb phrase,
kahkah,sound of knocking,noun,onomatopoeia
kahkah aa,hit against something so that it produces sound; produce a knocking sound,verb phrase,
at-kahala,reconcile people who did not agree,verb,
tikahala,agree; consent; approve; be suitable; suit; match,verb,
altikihala-,be dissatisfied,verb,
mutikahal,agreement,noun,
kihli,reconciliation; contract; agreement,noun,
kihli adamasa,violate an agreement,verb phrase,
kuhul,antimony,noun,cosmetic; from Arabic kuhl
akahala,put on antimony,verb,
kahasa,compensate,verb,
kihis,compensation,noun,
kaka,maternal uncle,noun,family relation; from Cushitic
kaka uxunlazax,nephew,noun phrase,family; literally 'the one whose uncle I am' (masculine)
kaka uxunlazax,niece,noun phrase,family; literally 'the one whose uncle I am' (feminine)
kaki,kind of cloth,noun,textile; from Persian/English khaki
kiki,small hoe,noun,tool
kikah baya,produce noise (mainly metal),verb phrase,
kikah aa,cause to make noise,verb phrase,
kil,toward; where; after; when,preposition/conjunction,
kil ahay,backwards,adverb,
iy kiltoba',west,noun,direction; literally 'where the sun sets'
kullu-,all,adjective,Semitic
kulli attay-be,everywhere,adverb,
kulli yom,daily,adverb,
kalaha,call someone by shouting,verb,
kalha,call someone by shouting,verb,variant
kalka,ax,noun,tool; from Cushitic
kilkil asa,tickle,verb phrase,
kilkilat,armpit,noun,body part; from Cushitic
kulkulta,fringe,noun,
kulul baya,roll,verb phrase,intransitive
kulul asa,roll,verb phrase,transitive
takulala,roll,verb,intransitive
kalim,rug of cotton,noun,household; from Arabic
takiy kalim,prayer rug,noun phrase,religious; literally 'pure rug'
kilma,word,noun,language; from Arabic kalima
kulan,a group of persons or animals,noun,
kulan aga,come together (persons or animals),verb phrase,
kulan osu-bo,attack in group,verb phrase,
kiliptos,eucalyptus,noun,plant; from English
kulay,kidney,noun,body part; from Semitic
kaloyta,small cap,noun,clothing
sabuk kaloyta,knitted cap,noun phrase,clothing
ge kaloyta,cap of Harari style sewn on the machine,noun phrase,clothing; literally 'cap of Harar'
kim,toward; to,preposition,
kim tahay,downwards,adverb,
kim lay,upwards,adverb,
kim,pimple,noun,health
kum,thousand,numeral,from Cushitic
kumbulul baya,roll,verb phrase,intransitive; expression used by children
kamacina,lorry,noun,vehicle; from Italian camioncino
kamal,perfection,noun,from Arabic
takamala,be accomplished,verb,
kamil,complete,adjective,
kammin,caraway seeds,noun,spice; from Arabic
kummin,caraway seeds,noun,variant; from Arabic
kamandaran,bad action or bad words added to a preceding bad action,noun,
kamiyol,truck,noun,vehicle; from French/Italian
kamiyol figa,motor road,noun phrase,
kincc,kind of small thorn,noun,plant
kanif,latrine,noun,building; from Arabic
kani,an s-shaped hook of iron,noun,tool; from Turkish/Venetian
kununnu,male organ of child,noun,body part; from Cushitic
kuntal,quintal,noun,measurement; from French/Italian
kanna,kind of tree,noun,plant
kara,road,noun,from Cushitic
karra,curved sword,noun,weapon; from Cushitic
karru,slight gap between the two upper front teeth (considered a sign of beauty),noun,body/appearance; from Cushitic
kira,rent,noun,from Arabic
kira asa,hire,verb phrase,
kora,saddle,noun,equipment; from Arabic
kiir,testicles,noun,body part; from Cushitic
kurra,crow,noun,animal/bird
kuri,pond; water reservoir,noun,nature
kuru',cubit; arm below the elbow,noun,body part/measurement
kora'a,measure by cubits,verb,
karabi,myrrh,noun,substance
xamis karabi,myrrh brought by the student to the teacher on Thursday for the preparation of ink,noun phrase,literally 'myrrh of Thursday'
karabu,drum,noun,musical instrument
krib,kind of cloth,noun,textile; from French crepe
kirbit,match,noun,metathesis for kibrit
karkaba asa,quarrel,verb phrase,
karafaha,have the smell of something rotten,verb,
kurkum-be mahafa,hit with knuckles,verb phrase,
